iter	F1	Logloss
78	0.793265071	0.4621654012
79	0.7939740873	0.4619959751
80	0.7936585405	0.4618215115
81	0.7942893394	0.4612228161
82	0.7946042974	0.4610498889
83	0.7938756902	0.4608062482
84	0.794486193	0.4606785135
85	0.794387754	0.4606424892
86	0.7948011371	0.4602543041
87	0.7945846564	0.4600561601
88	0.794387754	0.4599369591
89	0.7948995936	0.4596871047
90	0.7948995936	0.4593618361
91	0.7948995936	0.4591905435
92	0.7948995936	0.4591429587
93	0.7952142368	0.4590518066
94	0.7952142368	0.459051803
95	0.7951157874	0.4583071383
96	0.7946042974	0.4580385572
97	0.7956270534	0.457726982
98	0.7956270534	0.4577269606
99	0.7957255446	0.4576936773
100	0.7967652889	0.4573874835
101	0.7967652889	0.4573478947
102	0.7970609179	0.4570448048
103	0.7978192689	0.4567772385
104	0.7974085451	0.4563775454
105	0.7974085451	0.4563775446
106	0.7974085451	0.4563560589
107	0.7977038903	0.4560588504
108	0.7977038903	0.4560478511
109	0.7977038903	0.4560478485
110	0.7977038903	0.4560476692
111	0.7981312783	0.4556612359
112	0.7981312783	0.4556501947
113	0.7981312783	0.4556498323
114	0.7991639809	0.455190467
115	0.7984429978	0.4550828724
116	0.7998383752	0.4542823153
117	0.7998383752	0.4542177229
118	0.7996257204	0.4541213056
119	0.800134508	0.4539918806
120	0.7994128152	0.4534331194
121	0.8003320517	0.4530479092
122	0.8002332676	0.4527586642
123	0.8002332676	0.4527573125
124	0.800134508	0.4526367585
125	0.800544297	0.4525042584
126	0.8004455449	0.4520223686
127	0.8013630359	0.4517437494
128	0.8006430735	0.4513334744
129	0.8004455449	0.4511748603
130	0.7995270264	0.4507634544
131	0.8000207403	0.4506261699
132	0.7998231816	0.4505475636
133	0.7992153879	0.4502144402
134	0.7996103401	0.4501147457
135	0.7997091391	0.4501108764
136	0.7996103401	0.4500812872
137	0.7995115654	0.4500812809
138	0.8000207403	0.450031123
139	0.8008406996	0.449452616
140	0.8018302953	0.4491144094
141	0.8020418742	0.448728404
142	0.8021409361	0.4487233687
143	0.8016321806	0.448599004
144	0.8016321806	0.4484955243
145	0.8021674393	0.4482017102
146	0.8023783689	0.4479514066
147	0.8023783689	0.4479472759
148	0.8022795012	0.4479454441
149	0.8013630359	0.4475785965
150	0.8022663635	0.4473409659
151	0.8015469316	0.4471503119
152	0.8032692759	0.4467761841
153	0.8032692759	0.4464158529
154	0.803467524	0.4462598116
155	0.8032692759	0.446223412
156	0.8033683877	0.4460206577
157	0.8037650797	0.445704
158	0.80366587	0.4457037957
159	0.8037650797	0.445644235
160	0.8038643139	0.4454423272
161	0.8041621636	0.4453444452
162	0.8040628558	0.4448954024
163	0.8046813836	0.4447061725
164	0.8046813836	0.4446913172
165	0.8051780874	0.4445142415
166	0.8048690076	0.444356118
167	0.8047696097	0.4443145707
168	0.8044602341	0.4438182344
169	0.8050786976	0.4434805822
170	0.8062828171	0.4429777325
171	0.8062828171	0.4429768948
172	0.8058846518	0.4427867782
173	0.8058846518	0.442785942
174	0.805785172	0.442305812
175	0.8060836853	0.4420032606
176	0.8060836853	0.4420030413
177	0.8054764041	0.441352182
178	0.8055758921	0.4412762965
179	0.805894783	0.4411105924
180	0.805894783	0.4411053222
181	0.805894783	0.4409210544
182	0.8069086895	0.4404997032
183	0.8073157907	0.4399776768
184	0.8069179539	0.4398163459
185	0.8074153112	0.4393544502
186	0.8074153112	0.4393544349
187	0.8074153112	0.4393495909
188	0.8074153112	0.4393245838
189	0.8074153112	0.4393245756
190	0.8074153112	0.4393073945
191	0.8074153112	0.4392968548
192	0.8073157907	0.4392853406
193	0.8075148562	0.4392182621
194	0.8080129498	0.4387857107
195	0.8081126422	0.4387164666
196	0.8081126422	0.4386988363
197	0.8081126422	0.4383268253
198	0.8091257933	0.4377603622
199	0.8096180153	0.4374332085
200	0.8096180153	0.4371911196
201	0.8096180153	0.4371859976
202	0.8097180197	0.436905243
203	0.8100181812	0.4364010832
204	0.8102184125	0.4359778096
205	0.8101182845	0.4359744296
206	0.8101182845	0.4358706974
207	0.8105252166	0.4358259767
208	0.8095109242	0.4357206633
209	0.8098180488	0.4352982357
210	0.8099181027	0.4352712977
211	0.8114384224	0.4348985087
212	0.8117443447	0.4346233174
213	0.8117443447	0.434611862
214	0.8112380952	0.4344123457
215	0.8112380952	0.434045451
216	0.8115440351	0.4336039562
217	0.8118445366	0.4332805624
218	0.8122503733	0.4332645417
219	0.8119447532	0.4332305644
220	0.8126559329	0.4327878155
221	0.8126559329	0.4327553925
222	0.8126559329	0.4322759517
223	0.8126559329	0.4322655499
224	0.8126559329	0.4322523922
225	0.8127561811	0.4321708129
226	0.8128564541	0.4321279918
227	0.8130570744	0.4320996374
228	0.8129567519	0.4319555011
229	0.8129567519	0.4317701894
230	0.8131574217	0.4316714614
231	0.8130570744	0.4313247377
232	0.8130570744	0.431308701
233	0.8130570744	0.4310931627
234	0.8130570744	0.431019443
235	0.8139678677	0.4306490545
236	0.8139678677	0.4306266568
237	0.8137671351	0.4303850921
238	0.8137671351	0.430371347
239	0.8136668059	0.4301969091
240	0.8136668059	0.4296751314
241	0.8136668059	0.4296696698
242	0.8136631709	0.4293150855
243	0.8137635834	0.429301066
244	0.8137635834	0.4292886887
245	0.8137635834	0.4292230131
246	0.8133620819	0.4289594813
247	0.8134624201	0.4289179751
248	0.8130570744	0.4288147694
249	0.8129567519	0.4288046405
250	0.8129567519	0.4287270672
251	0.8133620819	0.4287101068
252	0.8125511449	0.4283404474
253	0.8130570744	0.4276606076
254	0.8130570744	0.4276314691
255	0.8133581905	0.4275262863
256	0.8133581905	0.4274820769
257	0.8138640208	0.4274345377
258	0.8139610924	0.4271103861
259	0.8147717896	0.4268130981
260	0.81507613	0.4264043093
261	0.81507613	0.4263854832
262	0.8146712125	0.4263497941
263	0.8150736698	0.4260258496
264	0.8154786497	0.425711551
265	0.8154786497	0.425562316
266	0.8162863326	0.4250960486
267	0.8167916439	0.4246359525
268	0.8167916439	0.4246272106
269	0.8163871397	0.4245996522
270	0.8159840605	0.4243062467
271	0.8165900236	0.4240988858
272	0.8164892508	0.4239172995
273	0.8161855504	0.4234940048
274	0.8162863326	0.4234050727
275	0.8163871397	0.4233700595
276	0.8170950337	0.4231664851
277	0.8171958718	0.4231552415
278	0.8171958718	0.4230971046
279	0.817801605	0.423017573
280	0.817801605	0.4230064432
281	0.8180034862	0.422869351
282	0.8179025332	0.4228587324
283	0.8182053116	0.4224498724
284	0.8184072235	0.4221270612
285	0.8190127271	0.4217581258
286	0.8189116936	0.4217252438
287	0.8189116936	0.4216999113
288	0.8182054671	0.4214157921
289	0.8182054671	0.4214020815
290	0.8185082168	0.4210031108
291	0.8181044642	0.4209812702
292	0.8185082168	0.4207696335
293	0.8193159772	0.4204389923
294	0.8193159772	0.4202945566
295	0.8194171105	0.420257439
296	0.8199199738	0.4200539223
297	0.8201222263	0.4199436533
298	0.8194159437	0.419763932
299	0.8203226554	0.4195781732
300	0.8213295376	0.4193707996
301	0.8213295376	0.419092048
302	0.8208262062	0.4188269469
303	0.8206239431	0.4187791202
304	0.8213295376	0.4186326082
305	0.821028569	0.4185034108
306	0.8214335941	0.418246174
307	0.8216362565	0.4182134035
308	0.8212337141	0.4177738147
309	0.8213323003	0.4175072147
310	0.8217376252	0.4173907584
311	0.8223427503	0.4169239319
312	0.822545693	0.4166269602
313	0.822545693	0.4165779114
314	0.8231508334	0.4162049229
315	0.8231508334	0.4161887715
316	0.8230492846	0.4159595485
317	0.8230492846	0.4159288573
318	0.8230492846	0.4159018345
319	0.8231508334	0.4157895153
320	0.8242590914	0.4155435457
321	0.8245587419	0.4154017003
322	0.8251631641	0.415027319
323	0.8260662262	0.4149284599
324	0.8264664807	0.4149145488
325	0.8266629036	0.4146834467
326	0.8267646704	0.4146107784
327	0.8267646704	0.4145175702
328	0.8259644634	0.4142446807
329	0.8259644634	0.4141693028
330	0.8259644634	0.4140614115
331	0.8259644634	0.414028496
332	0.8260662262	0.4135813577
333	0.8260662262	0.4135535837
334	0.8260662262	0.413509554
335	0.8259644634	0.4132692596
336	0.8259644634	0.4131886307
337	0.8264735282	0.4127683217
338	0.8266773298	0.4126606513
339	0.8272816031	0.4123919336
340	0.8272816031	0.4119501968
341	0.8272816031	0.4117358712
342	0.826881232	0.4117126337
343	0.8277837189	0.4115990243
344	0.827485635	0.4112348431
345	0.827485635	0.410946684
346	0.827485635	0.4109272033
347	0.8279878301	0.410860122
348	0.828192042	0.4106195223
349	0.8283963547	0.410309383
350	0.8283963547	0.4101457366
351	0.8291959341	0.4099041951
352	0.8288894164	0.4096133822
353	0.8280899235	0.4093755998
354	0.828192042	0.4090615973
355	0.8282941857	0.4087627271
356	0.828192042	0.408695456
357	0.8288984894	0.408546603
358	0.8288984894	0.4084334171
359	0.8287962808	0.4082133115
360	0.8300966744	0.4077414477
361	0.8300966744	0.4075970966
362	0.829298157	0.4073366211
363	0.8295026786	0.4071177504
364	0.8303115053	0.4066689893
365	0.8308131417	0.406414052
366	0.8307107135	0.406332178
367	0.8311096493	0.4060578185
368	0.8310072322	0.4059806626
369	0.8303115053	0.4058745284
370	0.8310180738	0.4054732383
371	0.8306188228	0.4051630581
372	0.8315195705	0.4049244383
373	0.8313256617	0.4047104501
374	0.8310180738	0.4044728703
375	0.8309155951	0.4044489876
376	0.8310180738	0.4042390231
377	0.8313145594	0.4039597164
378	0.8320091755	0.403707848
379	0.832521908	0.4034814021
380	0.832521908	0.4033068654
381	0.8329201127	0.4032601746
382	0.8320208485	0.4031347163
383	0.8320208485	0.4028266754
384	0.8311205778	0.4024007736
385	0.8314282416	0.402132656
386	0.8314282416	0.4020844853
387	0.8317246827	0.4020671691
388	0.831622114	0.4020215496
389	0.8321234314	0.4019855613
390	0.8318272768	0.401880719
391	0.8311315246	0.4016679442
392	0.8307319294	0.4013909017
393	0.8315421419	0.4012513339
394	0.831347922	0.401015377
395	0.831347922	0.40100003
396	0.8316448597	0.4009691215
397	0.8308452531	0.4009389447
398	0.8309479677	0.4008995231
399	0.831347922	0.4005611293
400	0.8312451932	0.400389015
401	0.8325461447	0.4002287065
402	0.8325461447	0.4001668159
403	0.8320442529	0.3998013193
404	0.831941521	0.399757781
405	0.831941521	0.3997181698
406	0.8327394606	0.3995218948
407	0.833240796	0.3992356563
408	0.8336390991	0.3988294854
409	0.8338447518	0.398438897
410	0.8334464207	0.3983640845
411	0.8334464207	0.398144991
412	0.8336390991	0.3978726623
413	0.8337419127	0.3978624438
414	0.8335492711	0.3976735673
415	0.8341534212	0.3974527463
416	0.8341534212	0.3974139644
417	0.8336521469	0.3973468177
418	0.833755048	0.3972413581
419	0.8348464085	0.3969951626
420	0.8351410208	0.3967225823
421	0.8351410208	0.3965654307
422	0.8351410208	0.3965574971
423	0.8346405985	0.3962128248
424	0.8345377315	0.395983659
425	0.8357294254	0.3958832441
426	0.8356265422	0.3957047967
427	0.8361261153	0.3953728514
428	0.8361261153	0.3953489126
429	0.8364349581	0.3951055616
430	0.8361412115	0.3949238654
431	0.8361412115	0.394895237
432	0.8362442214	0.3948289222
433	0.8363472568	0.3947929621
434	0.8363472568	0.394528462
435	0.8362442214	0.3944471109
436	0.8362442214	0.3944213808
437	0.8367596521	0.3941532889
438	0.8362594307	0.3938608584
439	0.837362857	0.3936524982
440	0.8368628145	0.3935765125
441	0.8361563329	0.3931627071
442	0.8362594307	0.3929596569
443	0.8365688766	0.3926940338
444	0.8361714795	0.3924852698
445	0.835862075	0.3922816202
446	0.835862075	0.392241624
447	0.8367596521	0.3922178945
448	0.8364657025	0.3921520373
449	0.8373467328	0.3918521962
450	0.8381557545	0.3916628269
451	0.8380525257	0.3915443025
452	0.8378626816	0.3913475588
453	0.8379659477	0.3909607756
454	0.8380692392	0.3909233192
455	0.8380692392	0.3909160108
456	0.8381725562	0.3908577007
457	0.8381725562	0.3908464297
458	0.8383792667	0.3907012115
459	0.8381725562	0.3905026865
460	0.8381725562	0.3904643376
461	0.8384655936	0.3901755676
462	0.8387756618	0.3901293224
463	0.8388616776	0.3899489916
464	0.8394642324	0.3897814268
465	0.8390683914	0.3896173031
466	0.8391717865	0.3895746645
467	0.839567641	0.3894358649
468	0.8396530358	0.3892991836
469	0.839567641	0.3892066236
470	0.8393608493	0.3889229629
471	0.8399632256	0.3887276178
472	0.8398598036	0.3886797394
473	0.8402736447	0.3884136044
474	0.8401701462	0.3883928202
475	0.8403771687	0.3883551946
476	0.8404807182	0.3883494555
477	0.8400850664	0.3881933063
478	0.8406878939	0.3878347909
479	0.8415820946	0.3870720998
480	0.8418733116	0.3870363931
481	0.8419969614	0.3867080367
482	0.8417894769	0.3864575086
483	0.8431809624	0.3861200617
484	0.8436789249	0.3859162314
485	0.8431809624	0.3857307011
486	0.8437827839	0.3855602912
487	0.8445924148	0.3853567892
488	0.8445924148	0.3851554393
489	0.8445924148	0.3851490562
490	0.8448004405	0.3849936397
491	0.8449044917	0.3842327833
492	0.8450085686	0.3840732768
493	0.8451126711	0.3840656987
494	0.8451126711	0.3839792693
495	0.8448227819	0.3837925984
496	0.8448227819	0.3837816612
497	0.8447186667	0.3835793049
498	0.8447186667	0.3834862825
499	0.8444284954	0.38327385
